brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Bullboxer,0,Demitri,0,84.99,0.0,0,0
,0,,0,0,0.0,0,0
Bullboxer,0,Peltton,0,62.99,0.0,0,0
Bullboxer,0,Peltton,0,62.99,0.0,0,0
Trask,100,Rigby,1,295.0,3.0,100,100
Trask,100,Rigby,1,295.0,3.0,100,100
Trask,100,Alder,1,195.0,4.0,100,100
Ben Sherman,80,Pete Slip-On,6,65.0,4.0,50,80
BOSS Hugo Boss,0,Glaze Low Top Sneakers,0,198.0,0.0,0,0
Bullboxer,0,Archee,0,54.99,0.0,0,0
OluKai,79,Nohea Moku,202,99.95,4.0,73,85
Clarks,100,Step Urban Mix,2,139.95,2.0,50,100
Clarks,100,Step Urban Mix,2,139.95,2.0,50,100
Steve Madden,0,Radnor,0,129.9,0.0,0,0
Steve Madden,0,Isles 2,0,89.9,0.0,0,0
Steve Madden,0,Brysonn,0,99.9,0.0,0,0
SeaVees,0,Legend Sneaker Reflect Tech,0,59.99,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
SKECHERS,80,Relaxed Fit Expected 2.0 - Wildon,55,44.98,4.0,80,80
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Camper,78,Beetle - 18751,9,199.0,5.0,67,89
Camper,78,Beetle - 18751,9,199.0,5.0,67,89
Friendly Shoes,100,Medimoto LT,1,74.17,5.0,100,100
Lacoste,0,Court-Drive Plus 0320 1,0,69.91,0.0,0,0
Lacoste,0,UT-LT Libre 0120 1,0,145.0,0.0,0,0
Trask,100,Rigby,1,294.95,3.0,100,100
Michael Kors,100,Ethan,2,137.99,5.0,50,100
GREATS,0,Court,0,179.99,0.0,0,0
,0,,0,0,0.0,0,0
Michael Kors,50,Nolan Knit Trainer,2,107.99,5.0,50,100
Michael Kors,100,Miles,1,198.0,4.0,100,100
Michael Kors,0,Adrian,0,198.0,0.0,0,0
