brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
On,80,Cloudflow,155,139.95,4.0,84,96
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
On,88,Cloud Waterproof,55,149.95,4.0,75,87
Hoka One One,68,Arahi 4,170,129.95,4.0,83,88
Under Armour,74,UA Charged Assert 8,50,59.94,5.0,79,93
Under Armour,80,Charged Pursuit 2,28,59.95,4.0,89,100
Hoka One One,76,Bondi 7,572,149.95,4.0,84,86
On,78,Cloud 2.0,297,129.94,4.0,82,93
Altra Footwear,86,Lone Peak 4.5,51,89.95,4.0,71,90
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
Under Armour,74,UA Charged Assert 8,50,48.79,5.0,79,93
On,78,Cloud 2.0,297,129.95,4.0,82,93
On,69,Cloudswift,109,149.95,4.0,85,89
Hoka One One,82,Gaviota 2,793,149.95,4.0,76,80
adidas,0,alphaboost,0,120.0,0.0,0,0
On,82,Cloud X,23,139.95,5.0,77,95
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
On,78,Cloud 2.0,297,129.94,4.0,82,93
Hoka One One,75,Carbon X,286,140.0,5.0,60,75
On,69,Cloudswift,109,149.95,4.0,85,89
Hoka One One,76,Bondi 7,572,149.95,4.0,84,86
On,78,Cloud 2.0,297,129.95,4.0,82,93
On,78,Cloud 2.0,297,129.95,4.0,82,93
On,80,Cloudflow,155,139.95,4.0,84,96
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
On,78,Cloud 2.0,297,129.94,4.0,82,93
Hoka One One,76,Bondi 7,572,149.95,4.0,84,86
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
On,78,Cloud 2.0,297,129.95,4.0,82,93
Hoka One One,76,Bondi 7,572,149.95,4.0,84,86
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,100,FuelCell Propel v2,2,99.99,3.0,50,100
New Balance,74,Fresh Foam 1080v10,508,134.99,4.0,88,82
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,83,Fuelcell Echo,19,89.99,4.0,89,94
New Balance,93,Nitrel v4,16,69.99,4.0,81,100
New Balance,81,Fresh Foam Roav Trail,33,84.95,4.0,76,90
New Balance,100,FuelCell Propel v2,2,99.99,3.0,50,100
New Balance,100,Fresh Foam Roav Backpack,5,79.99,4.0,80,80
New Balance,74,Fresh Foam 1080v10,508,149.95,4.0,88,82
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,0,FuelCell Prism EnergyStreak,0,119.99,0.0,0,0
New Balance,81,Fresh Foam Roav Trail,33,84.95,4.0,76,90
New Balance,92,1400v6,28,99.95,4.0,86,92
New Balance,100,FuelCell Propel v2,2,99.99,3.0,50,100
New Balance,100,FuelCell Prism,2,119.99,5.0,100,100
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,64,Fresh Foam Vongo v4,16,139.95,4.0,80,92
New Balance,73,Fresh Foam Hierro v5,56,134.95,4.0,96,91
New Balance,73,Fresh Foam Hierro v5,56,134.95,4.0,96,91
New Balance,80,840v4,329,124.95,4.0,89,89
New Balance,100,Fresh Foam Roav Backpack,5,79.99,4.0,80,80
New Balance,100,Fresh Foam Beacon v3,1,119.99,3.0,100,100
New Balance,100,FuelCell Prism,2,119.99,5.0,100,100
New Balance,86,Fresh Foam Roav Tee Shirt,33,79.95,5.0,87,93
New Balance,81,Fresh Foam Tempo,93,87.99,4.0,81,85
New Balance,73,Fresh Foam Hierro v5,56,134.99,4.0,96,91
New Balance,92,1400v6,28,99.95,4.0,86,92
New Balance,80,Fresh Foam Roav Fusion,5,64.08,2.0,80,40
New Balance,67,FuelCell Echolucent Pride,4,87.99,4.0,75,100
New Balance,83,Fresh Foam Roav,20,79.95,4.0,89,100
New Balance,100,Fresh Foam Beacon v3,1,119.99,3.0,100,100
New Balance,83,Fresh Foam Roav,20,79.95,4.0,89,100
