brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Bostonian,90,Birkett Cap,21,57.17,4.0,62,90
Florsheim,100,Midtown Wingtip Oxford,68,89.95,4.0,100,100
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Kenneth Cole Reaction,100,Klay Flex Lace-Up,1,74.11,5.0,100,100
Deer Stags,100,Benton,1,80.0,2.0,100,100
J&M Collection,0,Vaughn Wing Tip,0,149.85,0.0,0,0
Ted Baker,0,Carmo,0,129.99,0.0,0,0
Ben Sherman,100,Countryside Oxford,1,72.99,3.0,100,100
Johnston & Murphy,100,Tabor Runoff Lace-Up,1,99.9,3.0,100,100
Johnston & Murphy,50,Waterproof XC4(R) Stanton Moc Lace-Up,2,158.95,4.0,100,100
Magnanni,0,Maurici,0,435.0,0.0,0,0
Florsheim,100,Tux Cap Toe Oxford,23,114.95,5.0,83,60
J&M Collection,100,Cormac Monk,2,299.0,4.0,100,100
Florsheim,78,Midtown Cap Toe Oxford,282,89.95,5.0,76,93
Stacy Adams,0,Kenway Cap Toe Oxford,2,74.95,5.0,0,0
Kenneth Cole New York,75,Merge,82,63.0,4.0,71,88
Stacy Adams,100,Rooney Wing Tip Oxford,8,91.4,5.0,100,100
Steve Madden,100,Brelman Oxford,1,59.97,5.0,100,100
Steve Madden,0,Rummi Oxford,0,99.99,0.0,0,0
Bostonian,76,Wenham Cap,49,51.49,4.0,91,93
Josef Seibel,0,Earl 05,0,149.95,0.0,0,0
Florsheim,80,Midtown Saddle Oxford,79,114.95,5.0,80,80
Hush Puppies,100,Shepsky Wing Tip Oxford,2,56.54,3.0,50,100
Mark Nason,86,Westside,115,79.99,4.0,69,90
Stacy Adams,69,Tinsley Wingtip Oxford,132,124.95,5.0,88,100
BOSS Hugo Boss,0,Firstclass Derby Shoe by BOSS,0,398.0,0.0,0,0
Stacy Adams,0,Farwell Wing Tip Double Monk Strap,1,104.95,5.0,0,0
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Steve Madden,0,Alk,0,64.95,0.0,0,0
Carrucci,100,Cool Breeze,7,110.0,3.0,71,50
Rockport,0,Taylor Waterproof Plain Toe,0,99.95,0.0,0,0
Stacy Adams,72,Garrison Wingtip Oxford,114,79.99,4.0,83,74
CARLOS by Carlos Santana,100,Freedom Monk Single Strap,5,99.0,5.0,100,100
Bostonian,0,Lamont Wing,0,64.95,0.0,0,0
Bostonian,0,Lamont Cap,1,64.95,5.0,0,0
Florsheim,100,Sorrento Cap Toe Oxford,17,114.95,5.0,100,100
Florsheim,0,Forecast Waterproof Plain Toe Oxford,1,124.95,5.0,0,0
Nunn Bush,83,Fifth Ave Plain Toe,9,69.95,4.0,100,67
Nunn Bush,0,Fifth Ave Cap Toe,3,69.95,5.0,0,0
Anthony Veer,100,Ford Quarter Brogue Oxford,3,159.99,5.0,100,100
Ted Baker,0,Trvss,0,134.99,0.0,0,0
Bostonian,100,No16 Soft Lace,7,88.48,4.0,57,100
Massimo Matteo,0,Almansa Single Monk Strap,0,175.0,0.0,0,0
Lucky Brand,0,Berkley,0,89.95,0.0,0,0
ECCO,0,Citytray GORE-TEX® Plain Toe Tie,0,199.95,0.0,0,0
Magnanni,100,Dante,2,299.0,5.0,50,50
,0,,0,0,0.0,0,0
Nunn Bush,80,Cam Oxford Casual Walking Shoe,154,59.95,4.0,85,79
Steve Madden,100,Brelman Oxford,1,65.99,5.0,100,100
Deer Stags,71,Benton Comfort Brogue,17,44.99,3.0,59,69
Florsheim,0,Uptown Plain Toe Oxford,7,114.95,5.0,0,0
Stacy Adams,0,Harrison Wing Tip Oxford,7,64.92,5.0,0,0
Florsheim,0,Midtown Waterproof Plain Toe Oxford,29,104.95,4.0,0,0
Johnston & Murphy,78,Conard Dress Casual Cap Toe Oxford,85,149.9,5.0,73,84
Wolf & Shepherd,0,Bannister Derby,0,349.0,0.0,0,0
ECCO,90,Melbourne Tie,10,149.95,4.0,60,80
J&M Collection,100,Reece Wing Tip,1,194.99,5.0,100,100
Dockers,100,Bergen,1,59.95,5.0,100,100
Steve Madden,50,P-Konner,2,89.95,4.0,50,50
Carrucci,0,Scottsdale,1,87.99,3.0,0,0
To Boot New York,0,Ultra Flex Avellino,0,315.99,0.0,0,0
Johnston & Murphy,100,Daley Wing Tip,4,79.0,4.0,75,50
