brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Thomas & Vine,0,Legend Wing Tip Ankle Boot,0,109.99,0.0,0,0
Thomas & Vine,0,Hendrix Chelsea Boot,0,59.99,0.0,0,0
Caterpillar Casual,0,Founder,0,114.95,0.0,0,0
AllSaints,0,Luke,0,248.0,0.0,0,0
Harley-Davidson,80,Distortion,7,145.95,5.0,60,80
WORX,0,"5"" Cobalt Hiker Steel Toe",0,121.99,0.0,0,0
Durango,50,"Rebel 12"" Western Square Toe",2,139.99,3.0,50,50
Durango,50,"Rebel 12"" Western Square Toe",2,145.95,3.0,50,50
Wolf & Shepherd,0,Striker Chukka,0,369.0,0.0,0,0
Wolf & Shepherd,0,Striker Chukka,0,369.0,0.0,0,0
Durango,0,"Rebel 11"" Western",0,155.95,0.0,0,0
Durango,0,Rebel Pro Ventilated,0,165.95,0.0,0,0
Durango,0,"Rebel 11"" Western",0,155.95,0.0,0,0
Durango,0,"Maverick XP™ 11"" Steel Toe Puncture Resistant Western Work Boot",0,165.95,0.0,0,0
Camper,0,Peu Pista GM - K300288,0,250.0,0.0,0,0
Camper,50,Formiga - K300281,2,198.95,4.0,50,100
DC,100,Torstein,5,104.95,4.0,60,67
To Boot New York,100,Shelby,3,398.0,5.0,100,100
,0,,0,0,0.0,0,0
Eastland 1955 Edition,100,Jayce,5,160.0,4.0,80,100
To Boot New York,100,Belvedere,1,550.0,5.0,100,100
Durango,100,"Rebel 12"" Desert Camo",1,140.95,5.0,100,100
Clarks Originals,0,Desert Boot 2.0,0,190.0,0.0,0,0
Caterpillar,0,Leeward Steel Toe,0,159.95,0.0,0,0
Allen Edmonds,0,Hamilton,0,425.0,0.0,0,0
Frye,0,Grant Lace-Up,0,327.95,0.0,0,0
Frye,0,Grant Chelsea,0,327.95,0.0,0,0
Frye,0,Bowery Moc Lace-Up,0,357.95,0.0,0,0
Frye,85,Bowery Lace-Up,26,357.95,4.0,38,85
Frye,100,Bowery Chukka,3,327.95,3.0,100,67
Steve Madden,0,Delwar Lace-Up Boot,0,84.9,0.0,0,0
Stacy Adams,59,Madison Boot,670,135.0,5.0,71,78
John Varvatos,50,Portland Chukka,2,126.97,2.0,100,50
John Varvatos,50,Portland Chukka,2,126.97,2.0,100,50
,0,,0,0,0.0,0,0
Roper,100,American Flag Snip Toe,6,208.99,5.0,50,50
ALDO,0,Maximiliano,0,149.99,0.0,0,0
Propet,89,Grady,10,84.99,4.0,90,67
Frye,100,Bowery Chukka,3,262.99,3.0,100,67
Bostonian,100,No16 Soft Boot,3,90.95,5.0,100,100
Trask,67,Landers,3,159.99,4.0,33,67
ROAN by Bed Stu,100,Crown,1,129.95,1.0,100,100
Steve Madden,0,Self Made Chuck,0,119.99,0.0,0,0
,0,,0,0,0.0,0,0
Florsheim,100,Foundry Cap Toe Lace-Up Boot,26,279.95,5.0,80,50
Allen Edmonds,0,Williamsburg,0,445.0,0.0,0,0
